symbol,open,high,low,close,volume,ts
ARBUSDT,0.5819,0.5862,0.5817,0.5847,134527.8076,2024-11-15 03:30:00+00:00
ARBUSDT,0.5847,0.5851,0.5751,0.5772,150652.4585,2024-11-15 04:00:00+00:00
ARBUSDT,0.5772,0.5775,0.5663,0.5711,325103.9299,2024-11-15 04:30:00+00:00
ARBUSDT,0.5711,0.5769,0.5674,0.5766,269885.7464,2024-11-15 05:00:00+00:00
ARBUSDT,0.5766,0.5787,0.5754,0.5783,114872.6388,2024-11-15 05:30:00+00:00
ARBUSDT,0.5783,0.585,0.5782,0.5835,177374.6607,2024-11-15 06:00:00+00:00
ARBUSDT,0.5835,0.5852,0.5792,0.5834,104641.6071,2024-11-15 06:30:00+00:00
ARBUSDT,0.5834,0.5865,0.5833,0.5846,172153.3158,2024-11-15 07:00:00+00:00
ARBUSDT,0.5846,0.5851,0.5779,0.5786,158095.8924,2024-11-15 07:30:00+00:00
ARBUSDT,0.5786,0.5804,0.5731,0.5794,161952.3382,2024-11-15 08:00:00+00:00
ARBUSDT,0.5794,0.5873,0.5793,0.5867,255966.8885,2024-11-15 08:30:00+00:00
ARBUSDT,0.5867,0.5953,0.5862,0.5938,364719.1561,2024-11-15 09:00:00+00:00
ARBUSDT,0.5938,0.5952,0.591,0.5935,174556.4826,2024-11-15 09:30:00+00:00
ARBUSDT,0.5935,0.5959,0.5916,0.5956,183902.5243,2024-11-15 10:00:00+00:00
ARBUSDT,0.5956,0.5957,0.5915,0.5937,165497.3697,2024-11-15 10:30:00+00:00
ARBUSDT,0.5937,0.5952,0.5907,0.5926,177490.8162,2024-11-15 11:00:00+00:00
ARBUSDT,0.5926,0.5968,0.592,0.5963,176405.8769,2024-11-15 11:30:00+00:00
ARBUSDT,0.5963,0.6,0.5928,0.5935,280311.782,2024-11-15 12:00:00+00:00
ARBUSDT,0.5935,0.5945,0.5902,0.5933,205719.3997,2024-11-15 12:30:00+00:00
ARBUSDT,0.5933,0.597,0.5914,0.5953,216264.4885,2024-11-15 13:00:00+00:00
ARBUSDT,0.5953,0.5969,0.5915,0.5933,213071.8905,2024-11-15 13:30:00+00:00
ARBUSDT,0.5933,0.5947,0.5852,0.5861,325733.6915,2024-11-15 14:00:00+00:00
ARBUSDT,0.5861,0.589,0.5788,0.5832,520744.1987,2024-11-15 14:30:00+00:00
ARBUSDT,0.5832,0.5834,0.5741,0.5779,642073.2318,2024-11-15 15:00:00+00:00
ARBUSDT,0.5779,0.5792,0.573,0.5769,227119.7399,2024-11-15 15:30:00+00:00
ARBUSDT,0.5769,0.5848,0.5739,0.5842,313564.7389,2024-11-15 16:00:00+00:00
ARBUSDT,0.5842,0.5848,0.5753,0.5834,386984.3872,2024-11-15 16:30:00+00:00
ARBUSDT,0.5834,0.5883,0.5822,0.5851,217912.9602,2024-11-15 17:00:00+00:00
ARBUSDT,0.5851,0.5905,0.5827,0.5872,251359.6173,2024-11-15 17:30:00+00:00
ARBUSDT,0.5872,0.5902,0.5823,0.5865,361678.0151,2024-11-15 18:00:00+00:00
ARBUSDT,0.5865,0.5887,0.5852,0.5872,208591.8943,2024-11-15 18:30:00+00:00
ARBUSDT,0.5872,0.5913,0.5862,0.5908,127870.1912,2024-11-15 19:00:00+00:00
ARBUSDT,0.5908,0.5961,0.5904,0.5925,343744.9569,2024-11-15 19:30:00+00:00
ARBUSDT,0.5925,0.6027,0.5923,0.6014,346471.7707,2024-11-15 20:00:00+00:00
ARBUSDT,0.6014,0.6049,0.5987,0.6048,286596.9331,2024-11-15 20:30:00+00:00
ARBUSDT,0.6048,0.6074,0.6025,0.6059,246374.8753,2024-11-15 21:00:00+00:00
ARBUSDT,0.6059,0.6088,0.6047,0.607,201700.914,2024-11-15 21:30:00+00:00
ARBUSDT,0.607,0.6106,0.6046,0.61,160809.3974,2024-11-15 22:00:00+00:00
ARBUSDT,0.61,0.613,0.6073,0.609,215561.4234,2024-11-15 22:30:00+00:00
ARBUSDT,0.609,0.6114,0.6082,0.6087,118635.1414,2024-11-15 23:00:00+00:00
ARBUSDT,0.6087,0.6088,0.6051,0.6065,104037.4492,2024-11-15 23:30:00+00:00
ARBUSDT,0.6065,0.6067,0.6019,0.6038,184242.6426,2024-11-16 00:00:00+00:00
ARBUSDT,0.6038,0.6067,0.6027,0.605,121198.2341,2024-11-16 00:30:00+00:00
ARBUSDT,0.605,0.6111,0.6044,0.609,236655.2382,2024-11-16 01:00:00+00:00
ARBUSDT,0.609,0.6101,0.6062,0.6077,68533.0667,2024-11-16 01:30:00+00:00
ARBUSDT,0.6077,0.6107,0.6072,0.6103,158176.3917,2024-11-16 02:00:00+00:00
ARBUSDT,0.6103,0.614,0.6102,0.6126,159082.1746,2024-11-16 02:30:00+00:00
ARBUSDT,0.6126,0.6181,0.6123,0.6177,189328.821,2024-11-16 03:00:00+00:00
ARBUSDT,0.6177,0.6231,0.6162,0.6231,169291.6483,2024-11-16 03:30:00+00:00
ARBUSDT,0.6231,0.6269,0.6227,0.6247,277255.3036,2024-11-16 04:00:00+00:00
ARBUSDT,0.6247,0.6259,0.6203,0.6236,187353.6316,2024-11-16 04:30:00+00:00
ARBUSDT,0.6236,0.6262,0.6214,0.6249,186521.9259,2024-11-16 05:00:00+00:00
ARBUSDT,0.6249,0.6266,0.6218,0.6222,204171.9298,2024-11-16 05:30:00+00:00
ARBUSDT,0.6222,0.6227,0.6174,0.6197,244329.4515,2024-11-16 06:00:00+00:00
ARBUSDT,0.6197,0.6201,0.6148,0.6156,182619.522,2024-11-16 06:30:00+00:00
ARBUSDT,0.6156,0.6198,0.6153,0.6182,118534.5715,2024-11-16 07:00:00+00:00
ARBUSDT,0.6182,0.6214,0.6172,0.6207,184395.4367,2024-11-16 07:30:00+00:00
ARBUSDT,0.6207,0.6259,0.6207,0.6238,330228.9331,2024-11-16 08:00:00+00:00
ARBUSDT,0.6238,0.6291,0.6232,0.6291,193406.0191,2024-11-16 08:30:00+00:00
ARBUSDT,0.6291,0.6337,0.6259,0.6285,451362.0317,2024-11-16 09:00:00+00:00
ARBUSDT,0.6285,0.6325,0.6267,0.6283,566453.7,2024-11-16 09:30:00+00:00
ARBUSDT,0.6283,0.6347,0.6276,0.6346,770796.0417,2024-11-16 10:00:00+00:00
ARBUSDT,0.6346,0.6369,0.6325,0.6356,710174.1322,2024-11-16 10:30:00+00:00
ARBUSDT,0.6356,0.6476,0.6339,0.6468,1004909.3261,2024-11-16 11:00:00+00:00
ARBUSDT,0.6468,0.6541,0.6432,0.654,799164.9207,2024-11-16 11:30:00+00:00
ARBUSDT,0.654,0.6634,0.6466,0.6536,1054955.8429,2024-11-16 12:00:00+00:00
ARBUSDT,0.6536,0.6553,0.6488,0.651,325146.2961,2024-11-16 12:30:00+00:00
ARBUSDT,0.651,0.6566,0.6476,0.6532,469089.6981,2024-11-16 13:00:00+00:00
ARBUSDT,0.6532,0.6537,0.6458,0.653,360953.7809,2024-11-16 13:30:00+00:00
ARBUSDT,0.653,0.6585,0.6493,0.6575,343848.9283,2024-11-16 14:00:00+00:00
ARBUSDT,0.6575,0.6608,0.6529,0.6586,514090.5103,2024-11-16 14:30:00+00:00
ARBUSDT,0.6586,0.667,0.6511,0.6618,863274.6248,2024-11-16 15:00:00+00:00
ARBUSDT,0.6618,0.6633,0.6447,0.6558,953625.3474,2024-11-16 15:30:00+00:00
ARBUSDT,0.6558,0.6672,0.6512,0.6658,774529.3549,2024-11-16 16:00:00+00:00
ARBUSDT,0.6658,0.6685,0.6597,0.6645,430423.7665,2024-11-16 16:30:00+00:00
ARBUSDT,0.6645,0.6779,0.6636,0.6768,542307.8875,2024-11-16 17:00:00+00:00
ARBUSDT,0.6768,0.6995,0.674,0.6937,1071848.8741,2024-11-16 17:30:00+00:00
ARBUSDT,0.6937,0.7092,0.6843,0.7066,1204981.3268,2024-11-16 18:00:00+00:00
ARBUSDT,0.7066,0.7209,0.7064,0.7168,1883238.2631,2024-11-16 18:30:00+00:00
ARBUSDT,0.7168,0.7172,0.7021,0.7058,1310641.935,2024-11-16 19:00:00+00:00
ARBUSDT,0.7058,0.7207,0.7032,0.717,755245.9094,2024-11-16 19:30:00+00:00
ARBUSDT,0.717,0.7389,0.7151,0.7171,2029291.7089,2024-11-16 20:00:00+00:00
ARBUSDT,0.7171,0.7526,0.7171,0.7431,1713082.3968,2024-11-16 20:30:00+00:00
ARBUSDT,0.7431,0.7529,0.7348,0.7357,1179400.9083,2024-11-16 21:00:00+00:00
ARBUSDT,0.7357,0.7395,0.7265,0.7297,649458.2114,2024-11-16 21:30:00+00:00
ARBUSDT,0.7297,0.7539,0.726,0.7488,809301.9838,2024-11-16 22:00:00+00:00
ARBUSDT,0.7488,0.7628,0.7339,0.734,1025821.4517,2024-11-16 22:30:00+00:00
ARBUSDT,0.734,0.7375,0.7246,0.7273,905971.0451,2024-11-16 23:00:00+00:00
ARBUSDT,0.7273,0.7308,0.7186,0.7251,687259.0197,2024-11-16 23:30:00+00:00
ARBUSDT,0.7251,0.7309,0.7148,0.7295,1093275.4091,2024-11-17 00:00:00+00:00
