symbol,open,high,low,close,volume,ts
ARBUSDT,0.6951,0.697,0.6922,0.6954,120359.1718,2024-11-17 05:15:00+00:00
ARBUSDT,0.6954,0.6972,0.689,0.6899,146926.1633,2024-11-17 05:30:00+00:00
ARBUSDT,0.6899,0.6934,0.6866,0.6866,136586.5744,2024-11-17 05:45:00+00:00
ARBUSDT,0.6866,0.6934,0.6865,0.6921,117206.4383,2024-11-17 06:00:00+00:00
ARBUSDT,0.6921,0.6965,0.6919,0.6946,66170.6713,2024-11-17 06:15:00+00:00
ARBUSDT,0.6946,0.7025,0.6944,0.7025,159056.1649,2024-11-17 06:30:00+00:00
ARBUSDT,0.7025,0.7078,0.6999,0.705,169105.6131,2024-11-17 06:45:00+00:00
ARBUSDT,0.705,0.7054,0.6992,0.6994,168047.0857,2024-11-17 07:00:00+00:00
ARBUSDT,0.6994,0.7036,0.6988,0.7025,146699.2892,2024-11-17 07:15:00+00:00
ARBUSDT,0.7025,0.7076,0.7017,0.7044,207388.7896,2024-11-17 07:30:00+00:00
ARBUSDT,0.7044,0.7084,0.703,0.7032,249258.4742,2024-11-17 07:45:00+00:00
ARBUSDT,0.7032,0.7075,0.6975,0.7067,277260.5883,2024-11-17 08:00:00+00:00
ARBUSDT,0.7067,0.7179,0.705,0.7147,334853.7114,2024-11-17 08:15:00+00:00
ARBUSDT,0.7147,0.7149,0.7048,0.7074,315377.4492,2024-11-17 08:30:00+00:00
ARBUSDT,0.7074,0.7103,0.7049,0.707,179817.0882,2024-11-17 08:45:00+00:00
ARBUSDT,0.707,0.7112,0.7034,0.7038,197152.8144,2024-11-17 09:00:00+00:00
ARBUSDT,0.7038,0.7073,0.7013,0.7053,151983.2077,2024-11-17 09:15:00+00:00
ARBUSDT,0.7053,0.7056,0.698,0.6993,178292.8949,2024-11-17 09:30:00+00:00
ARBUSDT,0.6993,0.6995,0.6948,0.6966,195570.6796,2024-11-17 09:45:00+00:00
ARBUSDT,0.6966,0.6971,0.6899,0.6919,233609.6636,2024-11-17 10:00:00+00:00
ARBUSDT,0.6919,0.6972,0.6905,0.6971,123452.6691,2024-11-17 10:15:00+00:00
ARBUSDT,0.6971,0.6984,0.6936,0.6957,98602.0363,2024-11-17 10:30:00+00:00
ARBUSDT,0.6957,0.6967,0.6898,0.691,143027.2829,2024-11-17 10:45:00+00:00
ARBUSDT,0.691,0.6912,0.6791,0.6808,423612.0152,2024-11-17 11:00:00+00:00
ARBUSDT,0.6808,0.685,0.6785,0.684,233983.3492,2024-11-17 11:15:00+00:00
ARBUSDT,0.684,0.6865,0.6824,0.6849,206835.1786,2024-11-17 11:30:00+00:00
ARBUSDT,0.6849,0.6849,0.6785,0.6786,169151.203,2024-11-17 11:45:00+00:00
ARBUSDT,0.6786,0.6851,0.6779,0.6808,159977.6786,2024-11-17 12:00:00+00:00
ARBUSDT,0.6808,0.6876,0.6785,0.6874,137325.2021,2024-11-17 12:15:00+00:00
ARBUSDT,0.6874,0.6899,0.6841,0.6899,112214.8123,2024-11-17 12:30:00+00:00
ARBUSDT,0.6899,0.6913,0.689,0.6907,95503.0376,2024-11-17 12:45:00+00:00
ARBUSDT,0.6907,0.6907,0.6863,0.6881,88438.8636,2024-11-17 13:00:00+00:00
ARBUSDT,0.6881,0.6892,0.6831,0.6888,121790.9754,2024-11-17 13:15:00+00:00
ARBUSDT,0.6888,0.6905,0.6806,0.6865,316113.7382,2024-11-17 13:30:00+00:00
ARBUSDT,0.6865,0.6903,0.6857,0.6893,137433.9512,2024-11-17 13:45:00+00:00
ARBUSDT,0.6893,0.6954,0.6888,0.6924,148092.5486,2024-11-17 14:00:00+00:00
ARBUSDT,0.6924,0.6931,0.6843,0.6848,164737.1848,2024-11-17 14:15:00+00:00
ARBUSDT,0.6848,0.6901,0.682,0.69,157146.2594,2024-11-17 14:30:00+00:00
ARBUSDT,0.69,0.6924,0.689,0.6903,94647.0077,2024-11-17 14:45:00+00:00
ARBUSDT,0.6903,0.6909,0.6848,0.6885,141307.1563,2024-11-17 15:00:00+00:00
ARBUSDT,0.6885,0.691,0.6876,0.6879,92326.9676,2024-11-17 15:15:00+00:00
ARBUSDT,0.6879,0.6899,0.6851,0.6888,134890.4803,2024-11-17 15:30:00+00:00
ARBUSDT,0.6888,0.6898,0.6833,0.6873,119843.1293,2024-11-17 15:45:00+00:00
ARBUSDT,0.6873,0.6889,0.682,0.6886,103165.0478,2024-11-17 16:00:00+00:00
ARBUSDT,0.6886,0.6912,0.6875,0.6883,134935.6419,2024-11-17 16:15:00+00:00
ARBUSDT,0.6883,0.6937,0.6876,0.6907,165751.8911,2024-11-17 16:30:00+00:00
ARBUSDT,0.6907,0.696,0.69,0.6951,196099.5769,2024-11-17 16:45:00+00:00
ARBUSDT,0.6951,0.6964,0.6894,0.6894,136263.9873,2024-11-17 17:00:00+00:00
ARBUSDT,0.6894,0.6924,0.6851,0.6904,205438.3783,2024-11-17 17:15:00+00:00
ARBUSDT,0.6904,0.6943,0.6897,0.6921,132923.2881,2024-11-17 17:30:00+00:00
ARBUSDT,0.6921,0.694,0.6902,0.6904,121404.3541,2024-11-17 17:45:00+00:00
ARBUSDT,0.6904,0.6914,0.6847,0.6872,88240.6633,2024-11-17 18:00:00+00:00
ARBUSDT,0.6872,0.6875,0.6752,0.6766,356437.5354,2024-11-17 18:15:00+00:00
ARBUSDT,0.6766,0.6793,0.6754,0.6783,138540.9401,2024-11-17 18:30:00+00:00
ARBUSDT,0.6783,0.6792,0.6737,0.6739,149662.0373,2024-11-17 18:45:00+00:00
ARBUSDT,0.6739,0.6772,0.6726,0.6762,121690.2047,2024-11-17 19:00:00+00:00
ARBUSDT,0.6762,0.6768,0.6709,0.6738,104056.3739,2024-11-17 19:15:00+00:00
ARBUSDT,0.6738,0.6805,0.6725,0.6797,303828.7987,2024-11-17 19:30:00+00:00
ARBUSDT,0.6797,0.683,0.6789,0.6812,95390.5483,2024-11-17 19:45:00+00:00
ARBUSDT,0.6812,0.6829,0.6801,0.6802,69154.134,2024-11-17 20:00:00+00:00
ARBUSDT,0.6802,0.6812,0.6705,0.6725,194898.4018,2024-11-17 20:15:00+00:00
ARBUSDT,0.6725,0.6775,0.6716,0.6761,89147.623,2024-11-17 20:30:00+00:00
