symbol,open,high,low,close,volume,ts
ARBUSDT,0.6287,0.6368,0.6247,0.6348,897490.8311,2024-11-11 00:00:00+00:00
ARBUSDT,0.6348,0.6401,0.6304,0.6351,780021.9873,2024-11-11 01:00:00+00:00
ARBUSDT,0.6351,0.6503,0.6321,0.6486,1049455.3584,2024-11-11 02:00:00+00:00
ARBUSDT,0.6486,0.6545,0.6412,0.6488,1064783.4066,2024-11-11 03:00:00+00:00
ARBUSDT,0.6488,0.6496,0.636,0.6429,541038.5573,2024-11-11 04:00:00+00:00
ARBUSDT,0.6429,0.6429,0.6102,0.6171,1890582.4368,2024-11-11 05:00:00+00:00
ARBUSDT,0.6171,0.6232,0.6117,0.6196,1421077.3249,2024-11-11 06:00:00+00:00
ARBUSDT,0.6196,0.6243,0.616,0.6232,706677.6843,2024-11-11 07:00:00+00:00
ARBUSDT,0.6232,0.6259,0.6204,0.624,431118.8651,2024-11-11 08:00:00+00:00
ARBUSDT,0.624,0.63,0.6212,0.6286,584933.4325,2024-11-11 09:00:00+00:00
ARBUSDT,0.6286,0.633,0.622,0.6298,1382091.4946,2024-11-11 10:00:00+00:00
ARBUSDT,0.6298,0.6368,0.6278,0.6364,473530.4961,2024-11-11 11:00:00+00:00
ARBUSDT,0.6364,0.6397,0.624,0.629,1241924.9938,2024-11-11 12:00:00+00:00
ARBUSDT,0.629,0.6302,0.6186,0.6242,1172125.3482,2024-11-11 13:00:00+00:00
ARBUSDT,0.6242,0.6319,0.6199,0.6295,1095451.0571,2024-11-11 14:00:00+00:00
ARBUSDT,0.6295,0.6407,0.6271,0.6345,1536591.9228,2024-11-11 15:00:00+00:00
ARBUSDT,0.6345,0.6473,0.6336,0.6414,1687156.7292,2024-11-11 16:00:00+00:00
ARBUSDT,0.6414,0.6535,0.6407,0.6494,1174294.4917,2024-11-11 17:00:00+00:00
ARBUSDT,0.6494,0.6584,0.6425,0.6574,964312.3448,2024-11-11 18:00:00+00:00
ARBUSDT,0.6574,0.6608,0.6484,0.6509,1134191.0277,2024-11-11 19:00:00+00:00
ARBUSDT,0.6509,0.6656,0.6497,0.6605,1107789.3673,2024-11-11 20:00:00+00:00
ARBUSDT,0.6605,0.6647,0.6532,0.6561,933993.369,2024-11-11 21:00:00+00:00
ARBUSDT,0.6561,0.6602,0.6426,0.6599,1011730.5304,2024-11-11 22:00:00+00:00
ARBUSDT,0.6599,0.6719,0.6575,0.6713,1914858.9671,2024-11-11 23:00:00+00:00
ARBUSDT,0.6713,0.6721,0.6458,0.6651,2665292.1931,2024-11-12 00:00:00+00:00
ARBUSDT,0.6651,0.6682,0.6547,0.6607,1143231.0994,2024-11-12 01:00:00+00:00
ARBUSDT,0.6607,0.6687,0.6559,0.664,1468150.9554,2024-11-12 02:00:00+00:00
ARBUSDT,0.664,0.6665,0.6562,0.6659,1264478.3232,2024-11-12 03:00:00+00:00
ARBUSDT,0.6659,0.6685,0.6602,0.6604,869007.8631,2024-11-12 04:00:00+00:00
ARBUSDT,0.6604,0.6643,0.6555,0.6628,795058.7871,2024-11-12 05:00:00+00:00
ARBUSDT,0.6628,0.6809,0.6624,0.6734,1759405.0604,2024-11-12 06:00:00+00:00
ARBUSDT,0.6734,0.6752,0.6651,0.6683,1042906.9932,2024-11-12 07:00:00+00:00
ARBUSDT,0.6683,0.6866,0.6673,0.6866,1026073.306,2024-11-12 08:00:00+00:00
ARBUSDT,0.6866,0.6892,0.6532,0.6532,2678791.9823,2024-11-12 09:00:00+00:00
ARBUSDT,0.6532,0.6599,0.6035,0.6309,5945327.1603,2024-11-12 10:00:00+00:00
ARBUSDT,0.6309,0.6426,0.6254,0.6336,2571486.9112,2024-11-12 11:00:00+00:00
ARBUSDT,0.6336,0.6385,0.6131,0.6214,2140782.6787,2024-11-12 12:00:00+00:00
ARBUSDT,0.6214,0.6253,0.604,0.6192,3024960.0625,2024-11-12 13:00:00+00:00
ARBUSDT,0.6192,0.6278,0.6105,0.6273,2190817.4655,2024-11-12 14:00:00+00:00
ARBUSDT,0.6273,0.63,0.6197,0.6229,1211143.2813,2024-11-12 15:00:00+00:00
ARBUSDT,0.6229,0.6247,0.6062,0.6185,1419271.2057,2024-11-12 16:00:00+00:00
ARBUSDT,0.6185,0.6251,0.6144,0.6148,479434.478,2024-11-12 17:00:00+00:00
ARBUSDT,0.6148,0.629,0.6137,0.627,442936.853,2024-11-12 18:00:00+00:00
ARBUSDT,0.627,0.632,0.6254,0.6266,581230.5381,2024-11-12 19:00:00+00:00
ARBUSDT,0.6266,0.632,0.6214,0.6267,453379.8991,2024-11-12 20:00:00+00:00
ARBUSDT,0.6267,0.6309,0.6187,0.63,438149.1644,2024-11-12 21:00:00+00:00
ARBUSDT,0.63,0.6429,0.6248,0.6427,485046.0618,2024-11-12 22:00:00+00:00
ARBUSDT,0.6427,0.6428,0.6292,0.63,636206.4503,2024-11-12 23:00:00+00:00
ARBUSDT,0.63,0.6372,0.6259,0.6276,947698.0671,2024-11-13 00:00:00+00:00
ARBUSDT,0.6276,0.635,0.6179,0.6259,1359577.217,2024-11-13 01:00:00+00:00
ARBUSDT,0.6259,0.6266,0.6048,0.6172,820454.2041,2024-11-13 02:00:00+00:00
ARBUSDT,0.6172,0.6188,0.5985,0.5986,886437.9773,2024-11-13 03:00:00+00:00
ARBUSDT,0.5986,0.6077,0.5762,0.5899,1826703.6909,2024-11-13 04:00:00+00:00
ARBUSDT,0.5899,0.5926,0.5789,0.5806,1136047.2319,2024-11-13 05:00:00+00:00
ARBUSDT,0.5806,0.5882,0.571,0.5755,1041668.6903,2024-11-13 06:00:00+00:00
ARBUSDT,0.5755,0.5865,0.5741,0.5856,918427.8218,2024-11-13 07:00:00+00:00
ARBUSDT,0.5856,0.5889,0.5799,0.5818,640157.5162,2024-11-13 08:00:00+00:00
ARBUSDT,0.5818,0.5851,0.5755,0.5806,482403.7002,2024-11-13 09:00:00+00:00
ARBUSDT,0.5806,0.5882,0.5759,0.5875,546129.8869,2024-11-13 10:00:00+00:00
ARBUSDT,0.5875,0.5984,0.5852,0.5919,682367.3537,2024-11-13 11:00:00+00:00
ARBUSDT,0.5919,0.5946,0.5842,0.5886,588412.2095,2024-11-13 12:00:00+00:00
ARBUSDT,0.5886,0.612,0.5856,0.6064,2172171.1337,2024-11-13 13:00:00+00:00
ARBUSDT,0.6064,0.6387,0.6038,0.6384,3806054.8411,2024-11-13 14:00:00+00:00
ARBUSDT,0.6384,0.6393,0.623,0.6343,1889517.8634,2024-11-13 15:00:00+00:00
ARBUSDT,0.6343,0.639,0.6264,0.6321,1346567.3134,2024-11-13 16:00:00+00:00
ARBUSDT,0.6321,0.6373,0.6312,0.6354,554688.1443,2024-11-13 17:00:00+00:00
ARBUSDT,0.6354,0.6441,0.6331,0.6381,988873.5949,2024-11-13 18:00:00+00:00
ARBUSDT,0.6381,0.6399,0.6065,0.6088,3194703.5213,2024-11-13 19:00:00+00:00
ARBUSDT,0.6088,0.6156,0.5999,0.6073,1602498.2486,2024-11-13 20:00:00+00:00
ARBUSDT,0.6073,0.6079,0.5924,0.6022,1178048.4298,2024-11-13 21:00:00+00:00
ARBUSDT,0.6022,0.6118,0.5994,0.608,434847.5508,2024-11-13 22:00:00+00:00
ARBUSDT,0.608,0.6134,0.6033,0.612,325460.0189,2024-11-13 23:00:00+00:00
ARBUSDT,0.612,0.6179,0.607,0.6074,625458.2157,2024-11-14 00:00:00+00:00
ARBUSDT,0.6074,0.6182,0.6037,0.6169,997473.3585,2024-11-14 01:00:00+00:00
ARBUSDT,0.6169,0.6214,0.6083,0.6156,777848.4596,2024-11-14 02:00:00+00:00
ARBUSDT,0.6156,0.6191,0.6036,0.6189,471128.2932,2024-11-14 03:00:00+00:00
ARBUSDT,0.6189,0.6262,0.615,0.6258,455808.2532,2024-11-14 04:00:00+00:00
ARBUSDT,0.6258,0.6293,0.6224,0.6292,404473.4695,2024-11-14 05:00:00+00:00
ARBUSDT,0.6292,0.6359,0.6184,0.6185,684490.201,2024-11-14 06:00:00+00:00
ARBUSDT,0.6185,0.6283,0.6144,0.6267,862733.8214,2024-11-14 07:00:00+00:00
ARBUSDT,0.6267,0.6305,0.6215,0.6245,806891.4345,2024-11-14 08:00:00+00:00
ARBUSDT,0.6245,0.6287,0.6212,0.6241,441451.3608,2024-11-14 09:00:00+00:00
ARBUSDT,0.6241,0.6272,0.6099,0.6108,709827.8564,2024-11-14 10:00:00+00:00
ARBUSDT,0.6108,0.6122,0.6002,0.6096,877615.1389,2024-11-14 11:00:00+00:00
ARBUSDT,0.6096,0.6114,0.6054,0.608,397322.6171,2024-11-14 12:00:00+00:00
ARBUSDT,0.608,0.6127,0.6008,0.6021,721707.1015,2024-11-14 13:00:00+00:00
ARBUSDT,0.6021,0.6101,0.5862,0.5873,1825900.2393,2024-11-14 14:00:00+00:00
ARBUSDT,0.5873,0.5921,0.5788,0.5846,1336995.6996,2024-11-14 15:00:00+00:00
ARBUSDT,0.5846,0.6027,0.5806,0.6009,1191836.3337,2024-11-14 16:00:00+00:00
ARBUSDT,0.6009,0.6015,0.5943,0.5961,437732.3382,2024-11-14 17:00:00+00:00
ARBUSDT,0.5961,0.6011,0.5955,0.5979,465759.3793,2024-11-14 18:00:00+00:00
ARBUSDT,0.5979,0.6012,0.5961,0.6002,328711.7114,2024-11-14 19:00:00+00:00
ARBUSDT,0.6002,0.6002,0.5902,0.5907,550997.0812,2024-11-14 20:00:00+00:00
ARBUSDT,0.5907,0.5996,0.5886,0.5993,569962.5565,2024-11-14 21:00:00+00:00
ARBUSDT,0.5993,0.6006,0.5866,0.5887,598823.4006,2024-11-14 22:00:00+00:00
ARBUSDT,0.5887,0.5904,0.5717,0.58,1103456.8342,2024-11-14 23:00:00+00:00
ARBUSDT,0.58,0.5873,0.5754,0.5759,590485.848,2024-11-15 00:00:00+00:00
ARBUSDT,0.5759,0.5824,0.5695,0.581,617088.7183,2024-11-15 01:00:00+00:00
ARBUSDT,0.581,0.5854,0.5748,0.585,291128.8725,2024-11-15 02:00:00+00:00
ARBUSDT,0.585,0.5862,0.5795,0.5847,398286.5454,2024-11-15 03:00:00+00:00
ARBUSDT,0.5847,0.5851,0.5663,0.5711,475756.3884,2024-11-15 04:00:00+00:00
ARBUSDT,0.5711,0.5787,0.5674,0.5783,384758.3852,2024-11-15 05:00:00+00:00
ARBUSDT,0.5783,0.5852,0.5782,0.5834,282016.2678,2024-11-15 06:00:00+00:00
ARBUSDT,0.5834,0.5865,0.5779,0.5786,330249.2082,2024-11-15 07:00:00+00:00
ARBUSDT,0.5786,0.5873,0.5731,0.5867,417919.2267,2024-11-15 08:00:00+00:00
ARBUSDT,0.5867,0.5953,0.5862,0.5935,539275.6387,2024-11-15 09:00:00+00:00
ARBUSDT,0.5935,0.5959,0.5915,0.5937,349399.894,2024-11-15 10:00:00+00:00
ARBUSDT,0.5937,0.5968,0.5907,0.5963,353896.6931,2024-11-15 11:00:00+00:00
ARBUSDT,0.5963,0.6,0.5902,0.5933,486031.1817,2024-11-15 12:00:00+00:00
ARBUSDT,0.5933,0.597,0.5914,0.5933,429336.379,2024-11-15 13:00:00+00:00
ARBUSDT,0.5933,0.5947,0.5788,0.5832,846477.8902,2024-11-15 14:00:00+00:00
ARBUSDT,0.5832,0.5834,0.573,0.5769,869192.9717,2024-11-15 15:00:00+00:00
ARBUSDT,0.5769,0.5848,0.5739,0.5834,700549.1261,2024-11-15 16:00:00+00:00
ARBUSDT,0.5834,0.5905,0.5822,0.5872,469272.5775,2024-11-15 17:00:00+00:00
ARBUSDT,0.5872,0.5902,0.5823,0.5872,570269.9094,2024-11-15 18:00:00+00:00
ARBUSDT,0.5872,0.5961,0.5862,0.5925,471615.1481,2024-11-15 19:00:00+00:00
ARBUSDT,0.5925,0.6049,0.5923,0.6048,633068.7038,2024-11-15 20:00:00+00:00
ARBUSDT,0.6048,0.6088,0.6025,0.607,448075.7893,2024-11-15 21:00:00+00:00
ARBUSDT,0.607,0.613,0.6046,0.609,376370.8208,2024-11-15 22:00:00+00:00
ARBUSDT,0.609,0.6114,0.6051,0.6065,222672.5906,2024-11-15 23:00:00+00:00
ARBUSDT,0.6065,0.6067,0.6019,0.605,305440.8767,2024-11-16 00:00:00+00:00
ARBUSDT,0.605,0.6111,0.6044,0.6077,305188.3049,2024-11-16 01:00:00+00:00
ARBUSDT,0.6077,0.614,0.6072,0.6126,317258.5663,2024-11-16 02:00:00+00:00
ARBUSDT,0.6126,0.6231,0.6123,0.6231,358620.4693,2024-11-16 03:00:00+00:00
ARBUSDT,0.6231,0.6269,0.6203,0.6236,464608.9352,2024-11-16 04:00:00+00:00
ARBUSDT,0.6236,0.6266,0.6214,0.6222,390693.8557,2024-11-16 05:00:00+00:00
ARBUSDT,0.6222,0.6227,0.6148,0.6156,426948.9735,2024-11-16 06:00:00+00:00
ARBUSDT,0.6156,0.6214,0.6153,0.6207,302930.0082,2024-11-16 07:00:00+00:00
ARBUSDT,0.6207,0.6291,0.6207,0.6291,523634.9522,2024-11-16 08:00:00+00:00
ARBUSDT,0.6291,0.6337,0.6259,0.6283,1017815.7317,2024-11-16 09:00:00+00:00
ARBUSDT,0.6283,0.6369,0.6276,0.6356,1480970.1739,2024-11-16 10:00:00+00:00
ARBUSDT,0.6356,0.6541,0.6339,0.654,1804074.2468,2024-11-16 11:00:00+00:00
ARBUSDT,0.654,0.6634,0.6466,0.651,1380102.139,2024-11-16 12:00:00+00:00
ARBUSDT,0.651,0.6566,0.6458,0.653,830043.479,2024-11-16 13:00:00+00:00
